"words", "target"
"10새리", 1
"10세리", 1
"10쉐이", 1
"10쉑", 1
"10스", 1
"10쌔", 1
"10쌔기", 1
"10쎄", 1
"10창", 1
"10탱", 1
"18것", 1
"18넘", 1
"18놈", 1
"18뇬", 1
"18럼", 1
"18롬", 1
"18새", 1
"18색", 1
"18세끼", 1
"18세리", 1
"18섹", 1
"18쉑", 1
"18스", 1
"18아", 1
"갈보년", 1
"같은년", 1
"같은뇬", 1
"개같", 1
"개구라", 1
"개년", 1
"개놈", 1
"개뇬", 1
"개대중", 1
"개독", 1
"개돼중", 1
"개랄", 1
"개보지", 1
"개뻥", 1
"개새", 1
"개색", 1
"개섀끼", 1
"개세", 1
"개소", 1
"개쇳기", 1
"개수작", 1
"개쉐", 1
"개쉑", 1
"개쉽", 1
"개스끼", 1
"개시키", 1
"개십새", 1
"개쐑", 1
"개쑈", 1
"개씹", 1
"개아들", 1
"개자슥", 1
"개자지", 1
"개접", 1
"개좆", 1
"개좌식", 1
"개허접", 1
"걔새", 1
"걔수작", 1
"걔시끼", 1
"걔시키", 1
"걔썌", 1
"거지같", 1
"게색기", 1
"게색끼", 1
"광뇬", 1
"구녕", 1
"ㄲㅣ", 1
"노무노무", 1
"노무딱", 1
"노무짱", 1
"노짱", 1
"놈현", 1
"뉘뮈", 1
"뉘미럴", 1
"느금", 1
"니귀미", 1
"니기미", 1
"니미", 1
"니미랄", 1
"니미럴", 1
"니미씹", 1
"니미요", 1
"니아배", 1
"니아베", 1
"니아비", 1
"니애미", 1
"니어매", 1
"니어메", 1
"니어미", 1
"니에미", 1
"니엠", 1
"닝기리", 1
"닝기미", 1
"닥쳐", 1
"닭쳐", 1
"뎡신", 1
"돈놈", 1
"돌아이", 1
"돌은놈", 1
"되질래", 1
"뒈져", 1
"뒈진", 1
"뒈질", 1
"뒤질래", 1
"등신", 1
"디져라", 1
"디진다", 1
"디질래", 1
"따식", 1
"때놈", 1
"또라이", 1
"똘아이", 1
"뙈놈", 1
"뙤놈", 1
"뙨넘", 1
"뙨놈", 1
"뚜쟁", 1
"뛰발", 1
"띄발", 1
"띠바", 1
"띠발", 1
"띠발", 1
"띠밤", 1
"띠불", 1
"띠ㅋ발", 1
"띠팔", 1
"메친넘", 1
"메친놈", 1
"미췬", 1
"미친넘", 1
"미친년", 1
"미친놈", 1
"미친스까이", 1
"미틴", 1
"바랄년", 1
"뱅마", 1
"뱅신", 1
"벼엉신", 1
"병쉰", 1
"병신", 1
"병자", 1
"부랄", 1
"부럴", 1
"불알", 1
"불할", 1
"붙어먹", 1
"뷰웅", 1
"븅", 1
"븅신", 1
"빌어먹", 1
"빙시", 1
"빙신", 1
"빠구리", 1
"빠굴", 1
"빠큐", 1
"뻐큐", 1
"뻑큐", 1
"뽁큐", 1
"ㅅㅂ", 1
"ㅅㅐ", 1
"상넘이", 1
"상놈을", 1
"상놈의", 1
"상놈이", 1
"새갸", 1
"새기", 1
"새꺄", 1
"새끼", 1
"새키", 1
"색끼", 1
"생쑈", 1
"세갸", 1
"세꺄", 1
"세끼", 1
"섹스", 1
"셰끼", 1
"쉐기", 1
"쉐끼", 1
"쉐리", 1
"쉐에기", 1
"쉐키", 1
"쉑", 1
"쉨", 1
"쉬발", 1
"쉬밸", 1
"쉬벌", 1
"쉬뻘", 1
"쉬펄", 1
"쉽알", 1
"스패킹", 1
"스팽", 1
"시끼", 1
"시댕", 1
"시뎅", 1
"시랄", 1
"시바", 1
"시발", 1
"시벌", 1
"시부랄", 1
"시부럴", 1
"시부레", 1
"시부리", 1
"시불", 1
"시브랄", 1
"시팍", 1
"시팔", 1
"시펄", 1
"심탱", 1
"십8", 1
"십라", 1
"십새", 1
"십세", 1
"십쉐", 1
"십쉐이", 1
"십스키", 1
"십쌔", 1
"십창", 1
"십탱", 1
"싶알", 1
"ㅆ1발", 1
"ㅆㅂ", 1
"ㅆ앙", 1
"ㅆㅍ", 1
"ㅆㅣ", 1
"싸가지", 1
"싹아지", 1
"쌉년", 1
"쌍넘", 1
"쌍년", 1
"쌍놈", 1
"쌍뇬", 1
"쌔끼", 1
"쌕", 1
"쌩쑈", 1
"쌴년", 1
"썅", 1
"썡쇼", 1
"써벌", 1
"썩을년", 1
"썩을놈", 1
"쎄꺄", 1
"쎄엑", 1
"쒸벌", 1
"쒸뻘", 1
"쒸팔", 1
"쒸펄", 1
"쓰바", 1
"쓰박", 1
"쓰발", 1
"쓰벌", 1
"쓰팔", 1
"씁새", 1
"씁얼", 1
"씌발", 1
"씌파", 1
"씨1발", 1
"씨8", 1
"씨끼", 1
"씨댕", 1
"씨뎅", 1
"씨바", 1
"씨바랄", 1
"씨박", 1
"씨발", 1
"씨방새", 1
"씨방세", 1
"씨밸", 1
"씨뱅", 1
"씨벌", 1
"씨벨", 1
"씨봉", 1
"씨봉알", 1
"씨부랄", 1
"씨부럴", 1
"씨부렁", 1
"씨부리", 1
"씨불", 1
"씨붕", 1
"씨브랄", 1
"씨빠", 1
"씨빨", 1
"씨뽀랄", 1
"씨앙", 1
"씨ㅋ발", 1
"씨파", 1
"씨팍", 1
"씨팔", 1
"씨펄", 1
"씸년", 1
"씸뇬", 1
"씹같", 1
"씹년", 1
"씹뇬", 1
"씹방", 1
"씹보지", 1
"씹새", 1
"씹새리", 1
"씹세", 1
"씹쉐", 1
"씹스키", 1
"씹쌔", 1
"씹이", 1
"씹자지", 1
"씹질", 1
"씹창", 1
"씹탱", 1
"씹퇭", 1
"씹팔", 1
"씹할", 1
"씹헐", 1
"아가리", 1
"아갈통", 1
"아구창", 1
"아구통", 1
"아굴", 1
"앰창", 1
"양넘", 1
"양년", 1
"양놈", 1
"엄창", 1
"엠병", 1
"엠창", 1
"여물통", 1
"엿같", 1
"옘병", 1
"옘빙", 1
"왜년", 1
"왜놈", 1
"욤병", 1
"육갑", 1
"은년", 1
"을년", 1
"응디", 1
"이기야", 1
"이년", 1
"이새키", 1
"이스끼", 1
"ㅈㄲ", 1
"ㅈㄴ", 1
"ㅈㄹ", 1
"자슥", 1
"잡것", 1
"잡넘", 1
"잡년", 1
"잡놈", 1
"저년", 1
"접년", 1
"젖밥", 1
"조까", 1
"조까치", 1
"조낸", 1
"조또", 1
"조빠", 1
"조쟁이", 1
"조지냐", 1
"조진다", 1
"조질래", 1
"조찐", 1
"존나", 1
"존니", 1
"존만", 1
"좀물", 1
"좁년", 1
"좁밥", 1
"좃까", 1
"좃또", 1
"좃만", 1
"좃밥", 1
"좃이", 1
"좃찐", 1
"좆", 1
"좇같", 1
"좇이", 1
"주글", 1
"주데이", 1
"주뎅", 1
"주둥아리", 1
"주둥이", 1
"죽고잡", 1
"죽통", 1
"쥐랄", 1
"쥐롤", 1
"쥬디", 1
"지랄", 1
"지럴", 1
"지롤", 1
"지미랄", 1
"쪼다", 1
"쫍빱", 1
"찌랄", 1
"창녀", 1
"창년", 1
"캐년", 1
"캐놈", 1
"캐스끼", 1
"캐스키", 1
"캐시키", 1
"ㅍㅏ", 1
"팔럼", 1
"퍽큐", 1
"호로놈", 1
"호로색", 1
"호로쉑", 1
"호로스까이", 1
"호로스키", 1
"후라들", 1
"후래자식", 1
"후레", 1
"후뢰", 1
"쎅스", 1
"쎅스코리아", 1
"쎅시넷", 1
"쎅콜닷컴", 1
"쎅클럽", 1
"가가가가섹스샵", 1
"가가가섹스WAREZ", 1
"가가성인섹스샵", 1
"가가성인용품", 1
"가가성인용품샵", 1
"가가섹스", 1
"가가섹스포르노", 1
"가가섹스하러다가라", 1
"가고파성인용품", 1
"가나성인용품전문쇼핑몰", 1
"가람섹스성인용품", 1
"가마성인쇼핑몰", 1
"가면성인용품쇼핑몰", 1
"가보자성인용품", 1
"가시나무성인용품", 1
